window_start,ic,n_obs
2026-02-02 00:00:00+00:00,0.0906,9518
2026-02-09 00:00:00+00:00,-0.073696,10080
2026-02-16 00:00:00+00:00,0.006036,10080
2026-02-23 00:00:00+00:00,0.003395,10080
2026-03-02 00:00:00+00:00,-0.057831,10080
2026-03-09 00:00:00+00:00,0.022101,10080
2026-03-16 00:00:00+00:00,-0.038177,10080
2026-03-23 00:00:00+00:00,0.074796,10080
2026-03-30 00:00:00+00:00,-0.029427,10080
2026-04-06 00:00:00+00:00,-0.037322,10080
2026-04-13 00:00:00+00:00,-0.050827,10080
2026-04-20 00:00:00+00:00,0.04458,10080
2026-04-27 00:00:00+00:00,0.083462,5731
